"survey_duration","gender","age","education","tweet_submit_time","math_q1","math_q2","test_submit_time","stimulus","georgians","energy","soccer","fauci","pollution","election","truth","sentiment","bin_stimulus","bin_georgians","bin_energy","bin_soccer","bin_fauci","bin_pollution","bin_election","total_correct"
"149","Female","18 - 24 yrs old","College Graduate",46,"4","7.1",58,"Green House Gases","70","Natural Gas","Unknown","National Geographic Society","3rd largest","2020","fact","negative",1,0,1,1,1,0,0,4
"221","Male","25 - 34 yrs old","College Graduate",69,"4",".71",62,"Green House Gases","70","Natural Gas","Unknown","National Geographic Society","6th largest","2024","fact","negative",1,0,1,1,1,1,1,6
"267","Female","25 - 34 yrs old","College Graduate",32,"4","7.1",128,"Green House Gases","Do not recall","Do not recall","Do not recall","The Department of Health","6th largest","2024","fact","negative",1,0,0,0,0,1,1,3
"272","Male","25 - 34 yrs old","College Graduate",53,"4","7.1",68,"Green House Gases","None of the above","Wind","Pfizer vaccine","National Geographic Society","6th largest","2024","fact","negative",1,1,0,0,1,1,1,5
"138","Female","25 - 34 yrs old","College Graduate",41,"4","7.1",54,"Green House Gases","70","Do not recall","Pfizer vaccine","The Department of Health","Do not recall","2024","fact","negative",1,0,0,0,0,0,1,2
"880","Female","18 - 24 yrs old","College Graduate",77,"4",".71",65,"Green Hydrogen Gases","70","Natural Gas","Pfizer vaccine","National Geographic Society","1st largest","2024","fact","negative",0,0,1,0,1,0,1,3
"183","Female","25 - 34 yrs old","College Graduate",26,"4","7.1",51,"Do not recall","65","Do not recall","Do not recall","The Department of Health","Do not recall","Do not recall","fact","negative",0,0,0,0,0,0,0,0
"254","Female","55 +","College Graduate",81,"4","7.1",95,"Green House Gases","70","Natural Gas","Unknown","National Geographic Society","6th largest","2020","fact","negative",1,0,1,1,1,1,0,5
"200","Male","35 - 54 yrs old","College Graduate",53,"4","7.1",84,"Green Hydrogen Gases","70","None of the above","Unknown","National Geographic Society","3rd largest","2024","fact","negative",0,0,0,1,1,0,1,3
"231","Female","55 +","Some College",51,"4","7.1",64,"Green House Gases","Do not recall","Natural Gas","Pfizer vaccine","National Geographic Society","6th largest","2024","fact","negative",1,0,1,0,1,1,1,5
