"survey_duration","gender","age","education","tweet_submit_time","math_q1","math_q2","test_submit_time","stimulus","georgians","energy","soccer","fauci","pollution","election","truth","sentiment","bin_stimulus","bin_georgians","bin_energy","bin_soccer","bin_fauci","bin_pollution","bin_election","total_correct"
"124","Male","25 - 34 yrs old","College Graduate",44,"4","7.1",36,"Green House Gases","70","Natural Gas","None of the above","None of the above","6th largest","2024","fact","positive",1,0,1,0,0,1,1,4
"655","Female","25 - 34 yrs old","Some College",81,"4","7.1",83,"Green House Gases","75","Natural Gas","Pfizer vaccine","National Geographic Society","Do not recall","2024","fact","positive",1,0,1,0,1,0,1,4
"230","Male","25 - 34 yrs old","College Graduate",65,"4","7.1",66,"Green House Gases","70","Natural Gas","Unknown","National Geographic Society","6th largest","2024","fact","positive",1,0,1,1,1,1,1,6
"198","Male","25 - 34 yrs old","College Graduate",63,"4","7.1",87,"Green House Gases","70","None of the above","Unknown","National Geographic Society","6th largest","2024","fact","positive",1,0,0,1,1,1,1,5
"179","Female","18 - 24 yrs old","College Graduate",68,"4","7.1",69,"Green House Gases","70","Do not recall","Pfizer vaccine","The Department of Health","3rd largest","2024","fact","positive",1,0,0,0,0,0,1,2
"1679","Male","35 - 54 yrs old","College Graduate",66,"4","7.1",90,"Green House Gases","70","Natural Gas","Unknown","Do not recall","6th largest","2024","fact","positive",1,0,1,1,0,1,1,5
"157","Female","25 - 34 yrs old","College Graduate",51,"4","7.1",43,"Green House Gases","70","Natural Gas","Unknown","National Geographic Society","6th largest","2024","fact","positive",1,0,1,1,1,1,1,6
"260","Male","25 - 34 yrs old","College Graduate",155,"4","7.1",51,"Green House Gases","70","Natural Gas","Unknown","National Geographic Society","6th largest","2020","fact","positive",1,0,1,1,1,1,0,5
"201","Female","25 - 34 yrs old","College Graduate",67,"4","7.1",59,"Green House Gases","70","Natural Gas","Unknown","None of the above","6th largest","2024","fact","positive",1,0,1,1,0,1,1,5
"233","Female","55 +","College Graduate",52,"4","7.1",76,"Green House Gases","None of the above","Natural Gas","Unknown","National Geographic Society","Do not recall","2024","fact","positive",1,1,1,1,1,0,1,6
"244","Female","55 +","Highschool",64,"4",".71",73,"Green House Gases","70","Natural Gas","Unknown","None of the above","6th largest","2024","fact","positive",1,0,1,1,0,1,1,5
"252","Female","35 - 54 yrs old","College Graduate",59,"4","7.1",105,"Green House Gases","None of the above","Natural Gas","Unknown","Do not recall","None of the above","2024","fact","positive",1,1,1,1,0,0,1,5
"199","Male","25 - 34 yrs old","College Graduate",62,"4","7.1",80,"Green House Gases","None of the above","Natural Gas","None of the above","National Geographic Society","6th largest","2024","fact","positive",1,1,1,0,1,1,1,6
"233","Male","18 - 24 yrs old","College Graduate",116,"4","7.1",53,"Green House Gases","70","Natural Gas","Unknown","National Geographic Society","6th largest","2020","fact","positive",1,0,1,1,1,1,0,5
"229","Male","25 - 34 yrs old","College Graduate",81,"4","7.1",91,"Green House Gases","70","Natural Gas","Pfizer vaccine","The Department of Health","6th largest","2024","fact","positive",1,0,1,0,0,1,1,4
"255","Male","25 - 34 yrs old","Some College",72,"4","7.1",111,"Green House Gases","None of the above","Wind","None of the above","National Geographic Society","6th largest","Do not recall","fact","positive",1,1,0,0,1,1,0,4
"681","Female","25 - 34 yrs old","College Graduate",105,"4","7.1",88,"Green House Gases","70","Natural Gas","Unknown","National Geographic Society","6th largest","2020","fact","positive",1,0,1,1,1,1,0,5
"281","Male","35 - 54 yrs old","College Graduate",86,"4","7.1",100,"Green House Gases","70","Natural Gas","Unknown","National Geographic Society","6th largest","2024","fact","positive",1,0,1,1,1,1,1,6
"203","Male","35 - 54 yrs old","College Graduate",54,"4","7.1",76,"Green House Gases","None of the above","Natural Gas","Pfizer vaccine","Do not recall","1st largest","2024","fact","positive",1,1,1,0,0,0,1,4
"381","Male","55 +","College Graduate",117,"4","7.1",145,"Green House Gases","None of the above","None of the above","Unknown","National Geographic Society","6th largest","2024","fact","positive",1,1,0,1,1,1,1,6
"384","Female","55 +","College Graduate",54,"4","7.1",101,"Green House Gases","None of the above","Do not recall","None of the above","National Geographic Society","Do not recall","Do not recall","fact","positive",1,1,0,0,1,0,0,3
"160","Female","25 - 34 yrs old","College Graduate",48,"4",".71",49,"Green House Gases","None of the above","Natural Gas","Unknown","National Geographic Society","Do not recall","2024","fact","positive",1,1,1,1,1,0,1,6
"206","Male","18 - 24 yrs old","College Graduate",44,"4","7.1",60,"Green House Gases","None of the above","Natural Gas","Pfizer vaccine","National Geographic Society","6th largest","2024","fact","positive",1,1,1,0,1,1,1,6
"294","Male","25 - 34 yrs old","College Graduate",65,"4","7.1",139,"Green House Gases","70","Do not recall","Unknown","Do not recall","Do not recall","2024","fact","positive",1,0,0,1,0,0,1,3
"118","Male","25 - 34 yrs old","College Graduate",32,"4",".71",47,"Green House Gases","70","Natural Gas","Pfizer vaccine","Do not recall","6th largest","2024","fact","positive",1,0,1,0,0,1,1,4
"288","Male","25 - 34 yrs old","College Graduate",57,"4","7.1",87,"Green House Gases","None of the above","Natural Gas","Unknown","None of the above","6th largest","2024","fact","positive",1,1,1,1,0,1,1,6
